VertexFrom VertexTo TimeStart TimeStop
VehicleFlowNorthToEast3 VehicleFlowEastToWest_111 2 2
VehicleFlowNorthToEast3 VehicleFlowEastToSouth2 2 2
VehicleFlowNorthToEast3 VehicleFlowWestToNorth9 2 2
VehicleFlowNorthToEast3 VehicleFlowNorthToEast6 2 2
VehicleFlowNorthToEast3 VehicleFlowNorthToEast5 2 2
VehicleFlowNorthToEast3 VehicleFlowNorthToEast4 2 2
VehicleFlowNorthToEast3 VehicleFlowSouthToEast7 2 2
VehicleFlowNorthToEast3 VehicleFlowEastToWest_19 2 2
VehicleFlowNorthToEast3 VehicleFlowWestToEast27 2 2
VehicleFlowNorthToEast3 VehicleFlowWestToEast26 2 2
